Print the GStreamer version	Imprima a versão GStreamer
Could not get/set settings from/on resource.	Não conseguiu obter/configurar as configurações do/no recurso.
No space left on the resource.	Não resta espaço no recurso.
Not authorized to access resource.	Não está autorizado a acessar o recurso.
GStreamer encountered a general stream error.	O GStreamer encontrou um erro de fluxo geral.
Element doesn't implement handling of this stream. Please file a bug.	Element não implementa a manipulação deste fluxo.Por favor, arquivem um bug.
Could not determine type of stream.	Não conseguiu determinar o tipo de fluxo.
The stream is of a different type than handled by this element.	O fluxo é de um tipo diferente do manuseado por este elemento.
There is no codec present that can handle the stream's type.	Não há nenhum codec presente que possa lidar com o tipo do fluxo.
Could not decode stream.	Não conseguiu decodificar o fluxo.
Could not encode stream.	Não conseguiu codificar o fluxo.
Could not demultiplex stream.	Não conseguiu stream demultiplex.
Could not multiplex stream.	Não conseguiu transmitir multiplex.
The stream is in the wrong format.	O fluxo está no formato errado.
The stream is encrypted and decryption is not supported.	O fluxo é criptografado e a descifragem não é suportada.
The stream is encrypted and can't be decrypted because no suitable key has been supplied.	O fluxo é criptografado e não pode ser decifrado porque nenhuma chave adequada foi fornecida.
No error message for domain %s.	Não houve mensagem de erro para o domínio %s.
No standard error message for domain %s and code %d.	Não há mensagem de erro padrão para domínio %s e código %d.
Selected clock cannot be used in pipeline.	O relógio selecionado não pode ser usado no pipeline.
Error writing registry cache to %s: %s	Erro em escrever o cache do registo de registros para %s: %s
title	título título
commonly used title	título comumente usado
title sortname	título do nome do grupo
commonly used title for sorting purposes	Título comumente usado para fins de classificação
artist	artista artista
person(s) responsible for the recording	(s) pessoa responsável pela gravação
artist sortname	nome do artista
person(s) responsible for the recording for sorting purposes	(s) pessoa responsável pela gravação para fins de classificação
album	O álbum é um álbum.
album containing this data	O álbum contendo esses dados
album sortname	nome do álbum
album containing this data for sorting purposes	Contendo esses dados para fins de classificação de álbuns
album artist	artista álbum de álbum.
The artist of the entire album, as it should be displayed	O artista de todo o álbum, como deveria ser exibido
album artist sortname	artista nome do álbum
The artist of the entire album, as it should be sorted	O artista de todo o álbum, como deveria ser ordenado
date	data data data
date the data was created (as a GDate structure)	data em que os dados foram criados (como uma estrutura GDate)
datetime	datetime
date and time the data was created (as a GstDateTime structure)	Data e hora em que os dados foram criados (como uma estrutura GstDateTime)
genre	Gênero
genre this data belongs to	Estes dados pertencem ao gênero.
comment	comentário comentário
free text commenting the data	texto gratuito comentando os dados
extended comment	comentário estendido
free text commenting the data in key=value or key[en]=comment form	texto livre comentando os dados em key=value ou key[en]=coment form
track number	O número de trilha da pista
track number inside a collection	O número de faixa dentro de uma coleção
track count	A contagem de pistas track count
count of tracks inside collection this track belongs to	Conto de faixas dentro da coleção esta faixa pertence a
disc number	Número de disco
disc number inside a collection	Número de disco dentro de uma coleção
disc count	A contagem de discos
count of discs inside collection this disc belongs to	A contagem de discos dentro da coleção deste disco pertence a
location	localização localização localização
Origin of media as a URI (location, where the original of the file or stream is hosted)	Origem de mídia como um URI (localização, onde o original do arquivo ou fluxo é hospedado)
homepage	Página inicial
Homepage for this media (i.e. artist or movie homepage)	Página inicial para esta mídia (ou seja, página inicial de artista ou filme)
description	Descrição descrição
short text describing the content of the data	Um texto curto descrevendo o conteúdo dos dados
version	A versão é a versão.
version of this data	A versão de esses dados
ISRC	O ISRC
International Standard Recording Code - see http://www.ifpi.org/isrc/	Código Internacional de Registro Padrão - veja http://www.ifpi.org/isrc/
organization	A organização é uma organização.
copyright	Os direitos autorais
copyright notice of the data	Aviso de direitos autorais dos dados
copyright uri	uri direitos autorais.
URI to the copyright notice of the data	URI para o aviso de direitos autorais dos dados
encoded by	codificado por
name of the encoding person or organization	O nome da pessoa ou organização que codifica
contact	Contato  contato 
contact information	Informações de contato
license	Licença de licença
license of data	licença de dados
license uri	uri licença de licenciamento
URI to the license of the data	URI para a licença dos dados
performer	performer
person(s) performing	(s) Performing person
composer	compositor
person(s) who composed the recording	pessoa (s) que compôs a gravação
conductor	O condutor
conductor/performer refinement	refinamento de condutor/performer
duration	duração
length in GStreamer time units (nanoseconds)	comprimento em unidades de tempo GStreamer (nanosecondas)
codec	O codec
codec the data is stored in	O codec em que os dados são armazenados
video codec	Códice de vídeo de vídeo
codec the video data is stored in	O codec que os dados do vídeo são armazenados em
audio codec	Códice de áudio
codec the audio data is stored in	O codec os dados de áudio são armazenados em
subtitle codec	codec subtitulado
codec the subtitle data is stored in	O codec os dados de subtítulos são armazenados em
container format	Formatos de recipientes
container format the data is stored in	O formato de contêiner em que os dados são armazenados
bitrate	Bitrate  bitrate
exact or average bitrate in bits/s	Bitrate exata ou média em bits/s
nominal bitrate	Bitrate nominal nominal
nominal bitrate in bits/s	Bitrate nominal em bits/s
minimum bitrate	Bitrate mínimo
minimum bitrate in bits/s	Bitrate mínima em bits/s
maximum bitrate	Bitratação máxima
maximum bitrate in bits/s	Bitrate máxima em bits/s
encoder	Encoder
encoder used to encode this stream	O codificador usado para codificar este fluxo
encoder version	versão de codificador
version of the encoder used to encode this stream	A versão do codificador usado para codificar este fluxo
serial	Serial serial  Serial serial 
serial number of track	Número de série da pista
replaygain track gain	Replaygain track gain
track gain in dB	Ganho de pista em dB
r128 track gain	r128 track gain
track gain in dB (r128)	ganho de pista em dB (r128)
replaygain track peak	Replaygain track peak replaygain track peak 
peak of the track	o pico da pista
replaygain album gain	Replaygain album gain replaygain
album gain in dB	ganho de álbum em dB
r128 album gain	r128 album gain
album gain in dB (r128)	Ganho de álbum em dB (r128)
replaygain album peak	Replaygain álbum peak replaygain
peak of the album	o pico do álbum
replaygain reference level	nível de referência de replaygain replaygain
reference level of track and album gain values	Nível de referência dos valores de ganho de faixa e álbum
language code	Código de linguagem de código
language code for this stream, conforming to ISO-639-1 or ISO-639-2	Código de linguagem para este fluxo, conforme a ISO-639-1 ou ISO-639-2.
language name	nome de linguagem linguística
freeform name of the language this stream is in	Nome de forma livre da língua em que este fluxo está em
image	Imagem de imagem
image related to this stream	Imagem relacionada a este fluxo
preview image	Imagem de pré-visualização
preview image related to this stream	Imagem de antevisão relacionada a este fluxo
attachment	apego
file attached to this stream	Arquivo anexado a este fluxo
beats per minute	batidas por minuto
number of beats per minute in audio	número de batidas por minuto em áudio
keywords	Palavras-chave
comma separated keywords describing the content	a vírgula separou as palavras-chave que descrevem o conteúdo
geo location name	Nome de localização geo
human readable descriptive location of where the media has been recorded or produced	Localização descritiva legível pelo ser humano de onde os meios de comunicação foram gravados ou produzidos
geo location latitude	Localização geográfica latitude
geo latitude location of where the media has been recorded or produced in degrees according to WGS84 (zero at the equator, negative values for southern latitudes)	Localização na latitude geográfica de onde os meios de comunicação foram gravados ou produzidos em graus de acordo com o WGS84 (zero no equador, valores negativos para latitudes do sul)
geo location longitude	Longitude de localização geo
geo longitude location of where the media has been recorded or produced in degrees according to WGS84 (zero at the prime meridian in Greenwich/UK,  negative values for western longitudes)	Localização em longitude de onde os meios de comunicação foram gravados ou produzidos em graus geográficos de acordo com o WGS84 (zero no meridiano prime em Greenwich/UK, valores negativos para as longitudes ocidentais)
geo location elevation	Elevação de localização geo
geo elevation of where the media has been recorded or produced in meters according to WGS84 (zero is average sea level)	elevação de onde a mídia foi gravada ou produzida em metros de acordo com o WGS84 (zero é o nível médio do mar) geo
geo location country	Localização geográfica país
country (english name) where the media has been recorded or produced	País onde os meios de comunicação foram gravados ou produzidos
geo location city	localização geográfica da cidade
city (english name) where the media has been recorded or produced	(nome em inglês) onde os meios de comunicação foram gravados ou produzidos cidade
geo location sublocation	Sublocação de localização geo
a location within a city where the media has been produced or created (e.g. the neighborhood)	Um local dentro de uma cidade onde os meios de comunicação foram produzidos ou criados (por exemplo, o bairro)
geo location horizontal error	Erro de localização horizontal  geo
expected error of the horizontal positioning measures (in meters)	Erro esperado das medidas de posicionamento horizontal (em metros)
geo location movement speed	Velocidade de movimento de localização geo
movement speed of the capturing device while performing the capture in m/s	A velocidade de movimento do dispositivo de captura ao realizar a captura em m/s
geo location movement direction	Localização geográfica direção do movimento de localização.
indicates the movement direction of the device performing the capture of a media. It is represented as degrees in floating point representation, 0 means the geographic north, and increases clockwise	Ela é representada como graus na representação do ponto flutuante, 0 significa o norte geográfico e aumenta no sentido do relógio.
geo location capture direction	Localização captura direção geo
indicates the direction the device is pointing to when capturing  a media. It is represented as degrees in floating point  representation, 0 means the geographic north, and increases clockwise	Ela é representada como graus na representação do ponto flutuante, 0 significa o norte geográfico e aumenta no sentido do relógio.
show name	nome do show
Name of the tv/podcast/series show the media is from	O nome do programa de televisão/podcast/série que os meios de comunicação são de
show sortname	Show sortename
Name of the tv/podcast/series show the media is from, for sorting purposes	Nome do programa de televisão/podcast/série do qual a mídia é proveniente, para fins de classificação
episode number	número de episódio do episódio
The episode number in the season the media is part of	O número de episódios na temporada em que os meios de comunicação fazem parte
season number	Número de estação de temporada 
The season number of the show the media is part of	O número de temporada do programa que os meios de comunicação fazem parte da programação
lyrics	As letras são letras.
The lyrics of the media, commonly used for songs	As letras dos meios de comunicação, comumente usadas para canções
composer sortname	nome do compositor
person(s) who composed the recording, for sorting purposes	pessoa (s) que compôs a gravação, para fins de classificação
grouping	agrupamento
Groups related media that spans multiple tracks, like the different pieces of a concerto. It is a higher level than a track, but lower than an album	Grupos de mídia relacionada que abrange várias faixas, como as diferentes peças de um concerto.É um nível superior a uma faixa, mas inferior a um álbum
user rating	Rating de usuário
Rating attributed by a user. The higher the rank, the more the user likes this media	Quanto maior a classificação, mais o usuário gosta dessa mídia
device manufacturer	fabricante do dispositivo
Manufacturer of the device used to create this media	Fabricante do dispositivo usado para criar esta mídia
device model	modelo de dispositivo
Model of the device used to create this media	Modelo do dispositivo usado para criar esta mídia
application name	nome da aplicação
Application used to create the media	Aplicação usada para criar a mídia
application data	Dados de aplicação de aplicativos
Arbitrary application data to be serialized into the media	Os dados de aplicativos arbitrários serão serializados nos meios de comunicação
image orientation	Orientação de imagem
How the image should be rotated or flipped before display	Como a imagem deve ser girada ou virada antes de ser exibida
publisher	editor
Name of the label or publisher	Nome do rótulo ou do editor
interpreted-by	interpretado-por
Information about the people behind a remix and similar interpretations	Informações sobre as pessoas por trás de um remix e interpretações semelhantes
midi-base-note	midi-base-note
Midi note number of the audio track.	Número de nota midi da faixa de áudio.
private-data	dados-privados private-data
Private data	Dados privados
,	 ,  ,  ,
No URI handler for the %s protocol found	Não houve manipulador de URI para o protocolo %s encontrado.
URI scheme '%s' not supported	O esquema URI '%s' não é suportado
ERROR: from element %s: %s	ERROR: do elemento %s: %s
Additional debug info:	Informações adicionais sobre depósitos:
%s	%s
link has no source [sink=%s@%p]	O link não tem fonte [sink=%s@%p]
link has no sink [source=%s@%p]	O link não tem sink [source=%s@%p]
no property "%s" in element "%s"	Não há propriedade "%s" no elemento "%s"
Element "%s" is not a GstPreset	"%s" não é um elemento GstPreset
could not set preset "%s" in element "%s"	Não conseguiu definir a definição pré-definida de "%s" no elemento "%s".
no element "%s"	Não há elemento "%s"
could not set property "%s" in element "%s" to "%s"	Não conseguiu definir a propriedade "%s" no elemento "%s" para "%s".
could not set property "%s" in child of element "%s" to "%s"	Não conseguiu definir a propriedade "%s" em filho do elemento "%s" para "%s"
Delayed linking failed.	A ligação atrasada falhou.
could not link %s to %s, %s can't handle caps %s	Não conseguiu vincular %s a %s, %s não pode lidar com os limites %s.
could not link %s to %s, neither element can handle caps %s	Não conseguiu vincular %s a %s, nem nenhum elemento pode lidar com os limites %s.
could not link %s to %s with caps %s	Não conseguiu vincular %s a %s com os limites %s.
could not link %s to %s	Não conseguiu vincular %s a %s
unexpected reference "%s" - ignoring	Referência inesperada "%s" - ignorando
unexpected pad-reference "%s" - ignoring	pad-referência inesperada "%s" - ignorando
could not parse caps "%s"	Não conseguiu parsear os limites "%s"
no sink element for URI "%s"	Não há elemento sink para o URI "%s"
no source element for URI "%s"	Não há elemento fonte para o URI "%s"
syntax error	Erro de sintaxe
specified empty bin "%s", not allowed	Bin vazio especificado "%s", não permitido
no bin "%s", unpacking elements	Não há bin "%s", elementos de desempacotamento.
empty pipeline not allowed	tubo vazio não permitido
A lot of buffers are being dropped.	Muitos tampões estão sendo lançados.
Internal data flow problem.	Problemas de fluxo de dados internos.
Internal data flow error.	Erro de fluxo de dados interno.
Internal clock error.	Erro do relógio interno.
Failed to map buffer.	Falhou no map buffer.
Filter caps	Capas de filtro
Restrict the possible allowed capabilities (NULL means ANY). Setting this property takes a reference to the supplied GstCaps object.	Restringir os possíveis recursos permitidos (NULL significa qualquer coisa).A configuração desta propriedade assume uma referência ao objeto GstCaps fornecido.
Caps Change Mode	Caps Change Mode
Filter caps change behaviour	Filter caps change behavior
No Temp directory specified.	Não foi especificado nenhum diretório Temp.
Could not create temp file "%s".	Não conseguiu criar o arquivo temporário "%s".
Could not open file "%s" for reading.	Não conseguiu abrir o arquivo "%s" para leitura.
Error while writing to download file.	Erro ao escrever para baixar um arquivo.
No file name specified for writing.	Nenhum nome de arquivo especificado para escrita.
Could not open file "%s" for writing.	Não conseguiu abrir o arquivo "%s" para escrever.
Error closing file "%s".	Erro no fechamento do arquivo de fechamento "%s".
Error while seeking in file "%s".	Erro ao procurar no arquivo "%s".
Error while writing to file "%s".	Erro ao escrever no arquivo "%s".
No file name specified for reading.	Nenhum nome de arquivo especificado para leitura.
Could not get info on "%s".	Não conseguiu obter informações sobre "%s".
"%s" is a directory.	"%s" é um diretório.
File "%s" is a socket.	O arquivo "%s" é um soquete.
Failed after iterations as requested.	Falhou após iterações como solicitado.
caps	Caps
detected capabilities in stream	capacidades detectadas em fluxo
minimum	O mínimo é o mínimo.
force caps	Capas de força de força
force caps without doing a typefind	Caps sem fazer um tipo forcefind
Stream doesn't contain enough data.	O Stream não contém dados suficientes.
Stream contains no data.	O fluxo não contém dados.
%sImplemented Interfaces%s:	%sInterfaces implementadas%s:
readable	legível
writable	escritível
deprecated	deprecated
controllable	controlável
conditionally available	Condicionalmente disponível
changeable in NULL, READY, PAUSED or PLAYING state	changeable em estado NULL, READY, PAUSED ou PLAYING
changeable only in NULL, READY or PAUSED state	Mudável somente no estado NULL, READY ou PAUSED.
changeable only in NULL or READY state	Mudável somente em estado NULL ou READY.
Blacklisted files:	Arquivos incluídos na lista negra:
%sTotal count%s: %s	%sTotal count%s: %s
Print all elements	Imprima todos os elementos
Print list of blacklisted files	Imprima a lista de arquivos incluídos na lista negra
Print a machine-parsable list of features the specified plugin or all plugins provide.	Imprima uma lista de recursos que o plugin especificado ou todos os plugins fornecem.
Useful in connection with external automatic plugin installation mechanisms	Útil em conexão com mecanismos de instalação de plugins automáticos externos.
List the plugin contents	Listar o conteúdo do plugin
A slashes ('/') separated list of types of elements (also known as klass) to list. (unordered)	Um slashes ('/') separou a lista de tipos de elementos (também conhecido como classe) para a lista. (não ordenado)
Check if the specified element or plugin exists	Verifique se o elemento ou plugin especificado existe
When checking if an element or plugin exists, also check that its version is at least the version specified	Ao verificar se um elemento ou plugin existe, verifique também se sua versão é pelo menos a versão especificada.
Print supported URI schemes, with the elements that implement them	Imprima esquemas URI suportados, com os elementos que os implementam
Could not load plugin file: %s	Não conseguiu carregar o arquivo do plugin: %s
No such element or plugin '%s'	Não há tal elemento ou plugin '%s'
Index statistics	Estatísticas do Índice de Índice
Setting pipeline to PLAYING ...	Configurar um pipeline para PLAYING ...
ERROR: pipeline doesn't want to play.	ERRO: o pipeline não quer jogar.
Got message #%u from element "%s" (%s):	Obteve a mensagem #%u do elemento "%s" (%s):
Got message #%u from pad "%s:%s" (%s):	Obteve a mensagem #%u do pad "%s:%s" (%s):
Got message #%u from object "%s" (%s):	Obteve a mensagem #%u do objeto "%s" (%s):
Got message #%u (%s):	Recebeu mensagem #%u (%s):
Got EOS from element "%s".	Obteve EOS a partir do elemento "%s".
EOS received - stopping pipeline...	EOS recebeu - parada do gasoduto...
FOUND TAG      : found by element "%s".	FUND TAG: found by element "%s".
FOUND TAG      : found by pad "%s:%s".	FUND TAG: found by pad "%s:%s".
FOUND TAG      : found by object "%s".	FOUND TAG: found by object "%s".
FOUND TAG	FUND TAG
FOUND TOC      : found by element "%s".	FOUND TOC : found by element "%s".
FOUND TOC      : found by object "%s".	FOUND TOC : found by object "%s".
FOUND TOC	FOUND TOC
INFO:	INFO:
%s	%s
WARNING: from element %s: %s	AVISO: do elemento %s: %s
Pipeline is PREROLLED ...	Pipeline is PREROLLED ...
Prerolled, waiting for buffering to finish...	Prerollado, aguardando que o buffering termine...
Prerolled, waiting for progress to finish...	Prerollado, aguardando o progresso para terminar...
buffering...	tampão...
Done buffering, setting pipeline to PLAYING ...	Feito buffering, configuração de pipeline para PLAYING ...
Buffering, setting pipeline to PAUSED ...	Buffering, configuração de pipeline para PAUSED ...
Redistribute latency...	Redistribuir a latência...
Setting state to %s as requested by %s...	A configuração do estado para %s, conforme solicitado por %s...
Interrupt: Stopping pipeline ...	Interrupto: Paragem do gasoduto ...
Interrupt while waiting for EOS - stopping pipeline...	Interromper enquanto espera por EOS - parar o pipeline...
EOS on shutdown enabled -- Forcing EOS on the pipeline	EOS em desligamento habilitado -- Forçando EOS no pipeline
Waiting for EOS...	À espera de EOS...
Progress: (%s) %s	Progresso: (%s) %s
Missing element: %s	Falta o elemento: %s
Got context from element '%s': %s=%s	Obteve contexto do elemento '%s': %s=%s
ERROR: pipeline doesn't want to preroll.	ERRO: o pipeline não quer fazer a prerrol.
An error happened while waiting for EOS	Aconteceu um erro enquanto esperava por EOS
Output tags (also known as metadata)	Tags de saída (também conhecidos como metadados)
Output TOC (chapters and editions)	Output TOC (capítulos e edições)
Output status information and property notifications	Informações de status de saída e notificações de propriedade
Do not print any progress information	Não imprima nenhuma informação de progresso
Output messages	Mensagens de saída
Do not output status information for the specified property if verbose output is enabled (can be used multiple times)	Não emitir informações de status para a propriedade especificada se a saída verbal estiver ativada (pode ser usada várias vezes).
PROPERTY-NAME	PROPERTY-NAME
PROGRAM-NAME	O PROGRAMA-NOME
Do not install a fault handler	Não instale um gerenciador de falhas.
Force EOS on sources before shutting the pipeline down	Força a EOS em fontes antes de fechar o gasoduto
Gather and print index statistics	Reúna e imprima estatísticas do índice de índice
ERROR: pipeline could not be constructed: %s.	ERRO: o pipeline não pôde ser construído: %s.
ERROR: pipeline could not be constructed.	ERRO: o oleoduto não pôde ser construído.
WARNING: erroneous pipeline: %s	AVISO: pipeline errada: %s
ERROR: the 'pipeline' element wasn't found.	ERRO: o elemento 'pipeline' não foi encontrado.
Setting pipeline to PAUSED ...	Configurar o pipeline para PAUSED ...
Failed to set pipeline to PAUSED.	Não conseguiu definir o pipeline para PAUSED.
Pipeline is live and does not need PREROLL ...	O oleoduto está vivo e não precisa de PREROLL ...
Pipeline is PREROLLING ...	O oleoduto está PREROLLING ...
Execution ended after %	A execução terminou após o %.
Setting pipeline to NULL ...	Definir o pipeline para NULL ...
Freeing pipeline ...	Libertação do gasoduto ...
