%s: unable to resolve bind address %s; disabling bind.	%s: incapaz de resolver o endereço de ligação %s; desativando a ligação.
Connecting to %s|%s|:%d...	Conexando-se a %s em:%d...
Unknown type `%c', closing control connection.	Tipo desconhecido `%c', fechando a conexão de controle.
done.	Feito.
==> CWD not needed.	==> CWD não é necessário.
Logically impossible section reached in getftp()	Logicamente impossível seção alcançada em getftp()
cwd_count: %d	cwd_count: %d
cwd_start: %d	cwd_start: %d
cwd_end: %d	cwd_end: %d
No such directory %s.	Não há tal diretório %s.
==> CWD not required.	==> CWD não é necessário.
File has already been retrieved.	O arquivo já foi recuperado.
Cannot initiate PASV transfer.	Não pode iniciar a transferência de PASV.
Cannot parse PASV response.	Não pode paralisar a resposta PASV.
couldn't connect to %s port %d: %s	Não conseguiu se conectar ao porto %s %d: %s
Bind error (%s).	Erro de ligação (%s).
Invalid PORT.	PORTO INVALIDO.
REST failed, starting from scratch.	REST falhou, começando do zero.
File %s exists.	O arquivo %s existe.
No such file %s.	Não há esse arquivo %s.
No such file %s.	Não há esse arquivo %s.
No such file or directory %s.	Não há esse arquivo ou diretório %s.
%s has sprung into existence.	O %s surgiu na existência.
%s: %s, closing control connection.	%s: %s, fechando a conexão de controle.
%s (%s) - Data connection: %s;	%s (%s) - Conexão de dados: %s;
Control connection closed.	A conexão de controle foi fechada.
Data transfer aborted.	A transferência de dados foi abortada.
File %s already there; not retrieving.	O arquivo %s já está lá; não está sendo recuperado.
(try:%2d)	(try:%2d)
%s (%s) - written to stdout %s[%s]	%s (%s) - escrito para estudar %s[%s]
%s (%s) - %s saved [%s]	%s (%s) - %s salvo [%s]
Removing %s.	Removendo %s.
Using %s as listing tmp file.	Usando %s como listagem de arquivo tmp.
Removed %s.	Removido %s.
Recursion depth %d exceeded max. depth %d.	A profundidade de recorrência %d excedeu o máximo. profundidade %d.
Remote file no newer than local file %s -- not retrieving.	Arquivo remoto não mais recente do que o arquivo local %s -- não está sendo recuperado.
Remote file is newer than local file %s -- retrieving.	O arquivo remoto é mais recente do que o arquivo local %s -- retrieving.
The sizes do not match (local %s) -- retrieving.	Os tamanhos não coincidem (local %s) - recuperação.
Invalid name of the symlink, skipping.	Nome inválido do symlink, saltando.
Already have correct symlink %s -> %s	Já possuem um correcto link de sincronismo %s -> %s.
Creating symlink %s -> %s	Criando um symlink %s -> %s
Symlinks not supported, skipping symlink %s.	Os links não são suportados, ignorando o link %s.
Skipping directory %s.	Salto diretório %s.
%s: unknown/unsupported file type.	%s: tipo de arquivo desconhecido/insuportado.
Failed to set permissions for %s.	Não conseguiu definir permissões para %s.
%s: corrupt time-stamp.	%s: corrupto time-stamp.
Will not retrieve dirs since depth is %d (max %d).	Não vai recuperar dirs, já que a profundidade é %d (máximo %d).
Not descending to %s as it is excluded/not-included.	Não descendo para %s, pois é excluído/não incluído.
Rejecting %s.	Rejeitando o %s.
Rejecting %s (Invalid Entry).	Rejeitando %s (Entrada inválida).
%s is excluded/not-included through regex.	O %s é excluído/não incluído através do regex.
Error matching %s against %s: %s	Erro de correspondência entre %s e %s: %s
No matches on pattern %s.	Não há coincidências no padrão %s.
Wrote HTML-ized index to %s [%s].	Escreveu um índice HTML-izado para %s [%s].
Wrote HTML-ized index to %s.	Escreveu um índice HTML-izado para %s.
ERROR: Cannot open directory %s.	ERRO: Não pode abrir o diretório %s.
ERROR: Failed to open cert %s: (%d).	ERRO: Não conseguiu abrir cert %s: (%d).
Loaded CA certificate '%s'	Certificado CA carregado '%s'
ERROR: Failed to load CRL file '%s': (%d)	ERROR: Não conseguiu carregar o arquivo CRL '%s': (%d)
Loaded CRL file '%s'	O arquivo CRL carregado '%s'
ERROR: GnuTLS requires the key and the cert to be of the same type.	ERRO: O GnuTLS exige que a chave e o certificado sejam do mesmo tipo.
Your GnuTLS version is too old to support TLS 1.3	Sua versão GnuTLS é muito velha para suportar TLS 1.3
GnuTLS: unimplemented 'secure-protocol' option value %u	GnuTLS: valor de opção 'secure-protocol' não implementado %u
Please report this issue to bug-wget@gnu.org	Por favor, informe este problema para bug-wget@gnu.org
GnuTLS: unimplemented 'secure-protocol' option value %d	GnuTLS: valor de opção 'secure-protocol' não implementado %d.
GnuTLS: Cannot set prio string directly. Falling back to default priority.	GnuTLS: Não pode definir a cadeia prio diretamente. regressando à prioridade padrão.
ERROR	ERRO
WARNING	ADVERTENÇÃO
%s: No certificate presented by %s.	%s: Nenhum certificado apresentado por %s.
%s: The certificate of %s is not trusted.	%s: O certificado de %s não é confiável.
%s: The certificate of %s doesn't have a known issuer.	%s: O certificado de %s não tem um emissor conhecido.
%s: The certificate of %s has been revoked.	%s: O certificado de %s foi revogado.
%s: The certificate signer of %s was not a CA.	%s: O assinante de certificado de %s não era um CA.
%s: The certificate of %s was signed using an insecure algorithm.	%s: O certificado de %s foi assinado usando um algoritmo inseguro.
%s: The certificate of %s is not yet activated.	%s: O certificado de %s ainda não está ativado.
%s: The certificate of %s has expired.	%s: O certificado de %s expirou.
Error initializing X509 certificate: %s	Erro na inicialização do certificado X509: %s
No certificate found	Nenhum certificado encontrado
Error parsing certificate: %s	Certificado de análise de erro: %s
The certificate has not yet been activated	O certificado ainda não foi ativado
The certificate has expired	O certificado expirou
The certificate's owner does not match hostname %s	O proprietário do certificado não corresponde ao nome de hospedeiro %s.
The public key does not match pinned public key!	A chave pública não corresponde à chave pública apertada!
Certificate must be X.509	O certificado deve ser X.509
Error in handling the address list.	Erro no tratamento da lista de endereços.
Unknown host	Anfitrião desconhecido.
Temporary failure in name resolution	Falha temporária na resolução de nome
Unknown error	Erro desconhecido
Resolving %s...	Resolvendo %s...
failed: No IPv4/IPv6 addresses for host.	Não falhou: Não há endereços IPv4/IPv6 para hospedeiro.
failed: timed out.	Falhou: temporizado.
%s: Cannot resolve incomplete link %s.	%s: Não pode resolver o link incompleto %s.
%s: Invalid URL %s: %s	%s: URL inválida %s: %s
Failed writing HTTP request: %s.	Falhou em escrever a solicitação HTTP: %s.
No headers, assuming HTTP/0.9	Sem cabeçalhos, assumindo HTTP/0.9
File %s already there; not retrieving.	O arquivo %s já está lá; não está sendo recuperado.
gmtime failed. This is probably a bug.	Gmtime falhou, provavelmente é um bug.
Cannot convert timestamp to http format. Falling back to time 0 as last modification time.	Não pode converter o timestamp para o formato http. Regressando ao tempo 0 como última hora de modificação.
BODY data file %s missing: %s	O arquivo de dados BODY %s está faltando: %s
Reusing existing connection to [%s]:%d.	Reutilizar a conexão existente para [%s]:%d..
Reusing existing connection to %s:%d.	Reutilizar a conexão existente para %s:%d..
Failed reading proxy response: %s	Falhou na leitura da resposta do proxy: %s
%s ERROR %d: %s.	%s ERRO %d: %s.
Malformed status line	Linha de status malformada
Proxy tunneling failed: %s	Túnel de proxy falhou: %s
Unknown authentication scheme.	Esquema de autenticação desconhecido.
Authentication selected: %s	A autenticação selecionada: %s
Saving to: %s	Salvando para: %s
When downloading signature:	Ao baixar a assinatura:
%s: %s.	%s: %s.
Unable to read signature content from temporary file. Skipping.	Incapaz de ler o conteúdo da assinatura do arquivo temporário.
Could not create temporary file. Skipping signature download.	Não conseguiu criar um arquivo temporário.
Invalid pri value. Assuming %d.	Valor pri inválido. Assumindo %d..
Could not find acceptable digest for Metalink resources.	Não conseguiu encontrar digest aceitável para recursos Metalink.
Ignoring them.	Ignorando-os.
Disabling SSL due to encountered errors.	Desativar o SSL devido a erros encontrados.
%s request sent, awaiting response...	A solicitação %s foi enviada, aguardando uma resposta...
No data received.	Não foram recebidos dados.
Read error (%s) in headers.	Erro de leitura (%s) em cabeçalhos.
(no description)	(sem descrição)
Location: %s%s	Localização: %s%s
unspecified	não especificado
[following]	[seguindo]
File %s not modified on server. Omitting download.	O arquivo %s não foi modificado no servidor.
Server ignored If-Modified-Since header for file %s.	O servidor ignorou o cabeçalho If-Modified-Since para o arquivo %s.
You might want to add --no-if-modified-since option.	Você pode querer adicionar a opção --no-if-modified-since.
The file is already fully retrieved; nothing to do.	O arquivo já foi totalmente recuperado; nada a fazer.
Length:	Comprimento:
ignored	ignorado
Warning: wildcards not supported in HTTP.	Aviso: wildcards não são suportados em HTTP.
Spider mode enabled. Check if remote file exists.	O modo aranha foi ativado, verifique se existe um arquivo remoto.
Cannot write to %s (%s).	Não pode escrever para %s (%s).
Required attribute missing from Header received.	O atributo necessário faltando no cabeçalho recebido.
Username/Password Authentication Failed.	A autenticação de nome de usuário / senha falhou.
Cannot write to WARC file.	Não pode escrever para o arquivo WARC.
Cannot write to temporary WARC file.	Não pode escrever para temporário arquivo WARC.
Unable to establish SSL connection.	Incapaz de estabelecer uma conexão SSL.
Cannot unlink %s (%s).	Não pode desvincular %s (%s).
ERROR: Redirection (%d) without location.	ERROR: Redireção (%d) sem localização.
Could not find Metalink data in HTTP response. Downloading file using HTTP GET.	Não conseguiu encontrar dados Metalink em resposta HTTP.
Metalink headers found. Switching to Metalink mode.	Encontraram-se cabeçalhos Metalink, mudando para o modo Metalink.
Remote file does not exist -- broken link!!!	O arquivo remoto não existe - link quebrado!!!
Last-modified header missing -- time-stamps turned off.	O último cabeçalho modificado está faltando - timestamps desligados.
Last-modified header invalid -- time-stamp ignored.	O último cabeçalho modificado é inválido - o time-stamp ignorado.
Server file no newer than local file %s -- not retrieving.	O arquivo do servidor não é mais recente do que o arquivo local %s -- não está sendo recuperado.
The sizes do not match (local %s) -- retrieving.	Os tamanhos não coincidem (local %s) - recuperação.
Remote file is newer, retrieving.	O arquivo remoto é mais recente, recuperando.
Remote file exists and could contain links to other resources -- retrieving.	O arquivo remoto existe e pode conter links para outros recursos - recuperação.
Remote file exists but does not contain any link -- not retrieving.	O arquivo remoto existe, mas não contém nenhum link - não está sendo recuperado.
Remote file exists and could contain further links,	O arquivo remoto existe e pode conter mais links,
but recursion is disabled -- not retrieving.	Mas a recorrência é desativada - não a recuperação.
Remote file exists.	O arquivo remoto existe.
%s URL: %s %2d %s	URL: %s %s %s %2d %s
%s (%s) - written to stdout %s[%s/%s]	%s (%s) - escrito para estudar %s[%s/%s]
%s (%s) - %s saved [%s/%s]	%s (%s) - %s salvo [%s/%s]
%s (%s) - Connection closed at byte %s.	%s (%s) - Conexão fechada em byte %s.
%s (%s) - Read error at byte %s (%s).	%s (%s) - Leia o erro em byte %s (%s).
%s (%s) - Read error at byte %s/%s (%s).	%s (%s) - Leia o erro em byte %s/%s (%s).
Unsupported quality of protection '%s'.	Qualidade de proteção não suportada '%s'.
Unsupported algorithm '%s'.	Algoritmo não suportado '%s'.
%s: WGETRC points to %s, which couldn't be accessed because of error: %s.	%s: WGETRC aponta para %s, que não pode ser acessado por causa do erro: %s.
%s: Cannot read %s (%s).	%s: Não pode ler %s (%s).
%s: Error in %s at line %d.	%s: Erro em %s na linha %d.
%s: Syntax error in %s at line %d.	%s: Erro de sintaxe em %s na linha %d.
%s: Unknown command %s in %s at line %d.	%s: Desconhecido comando %s em %s na linha %d.
Parsing system wgetrc file (env SYSTEM_WGETRC) failed.  Please check	O sistema de paragem do arquivo wgetrc (env SYSTEM_WGETRC) falhou.
'%s',	'%s',
or specify a different file using --config.	ou especifique um arquivo diferente usando --config..
Parsing system wgetrc file failed.  Please check	O sistema de paragem do arquivo wgetrc falhou.
'%s',	'%s',
or specify a different file using --config.	ou especifique um arquivo diferente usando --config..
%s: Warning: Both system and user wgetrc point to %s.	%s: Aviso: Tanto o sistema como o usuário wgetrc apontam para %s.
%s: Invalid --execute command %s	%s: Invalido --execute o comando %s
%s: %s: Invalid boolean %s; use `on' or `off'.	%s: %s: Invalida booleana %s; use `on' or `off'.
%s: %s: Invalid %s; use `on', `off' or `quiet'.	%s: %s: %s inválido; use `on', `off' or `quiet'.
%s: %s: Invalid number %s.	%s: %s: Número inválido %s.
%s: %s must only be used once	%s: %s só pode ser usado uma vez
%s: %s: Invalid byte value %s	%s: %s: Valor de byte inválido de %s
%s: %s: Invalid time period %s	%s: %s: Período de tempo inválido %s
%s: %s: Negative time period %s	%s: %s: Período de tempo negativo %s
use-askpass requires a string or either environment variable WGET_ASKPASS or SSH_ASKPASS to be set.	Use-askpass requer que seja definida uma variável string ou ambiente WGET_ASKPASS ou SSH_ASKPASS.
%s: %s: Invalid value %s.	%s: %s: Valor inválido %s.
%s: %s: Invalid header %s.	%s: %s: cabeçalho inválido %s.
%s: %s: Invalid WARC header %s.	%s: %s: cabeçalho WARC inválido %s.
%s: %s: Invalid progress type %s.	%s: %s: Tipo de progresso inválido %s.
%s: %s: Invalid restriction %s,	%s: %s: Restrição inválida %s,
use [unix|vms|windows],[lowercase|uppercase],[nocontrol],[ascii].	[unix expressão], [lowercase], [nouppercase], [nocontrol], [ascii].
Encoding %s isn't valid	A codificação de %s não é válida
Conversion from %s to %s isn't supported	A conversão de %s para %s não é suportada
Incomplete or invalid multibyte sequence encountered	Sequência de multibyte incompleta ou inválida encontrada
Unhandled errno %d	Unhandled errno %d
locale_to_utf8: locale is unset	local_to_utf8: local is unset
idn_encode failed (%d): %s	idn_encode falhou (%d): %s
Failed to convert to lower: %d: %s	Falhou em converter para menor: %d: %s
Redirecting output to %s.	Redirecionando a saída para %s.
%s: %s; disabling logging.	%s: %s; desativando o registro.
Usage: %s [OPTION]... [URL]...	Utilização: %s [OPTION]... [URL]...
Mandatory arguments to long options are mandatory for short options too.	Argumentos obrigatórios para opções longas são obrigatórios para opções curtas também.
Startup:	Iniciação:
-V,  --version                   display the version of Wget and exit	-V, --version exibe a versão de Wget e exit.
-h,  --help                      print this help	-h, --help print this help
-b,  --background                go to background after startup	-b, --background ir para o fundo após o início
-e,  --execute=COMMAND           execute a `.wgetrc'-style command	-e, --execute=COMMAND execute um comando de estilo `.wgetrc'-.
Logging and input file:	Arquivo de registro e de entrada:
-o,  --output-file=FILE          log messages to FILE	-o, --output-file=FILE log messages to FILE
-a,  --append-output=FILE        append messages to FILE	-a, --append-output=FILE append messages to FILE
-d,  --debug                     print lots of debugging information	-d, --debug print lots of debugging information
--wdebug                    print Watt-32 debug output	--wdebug print Watt-32 debug output
-q,  --quiet                     quiet (no output)	-q, --quiet quiet (sem saída)
-v,  --verbose                   be verbose (this is the default)	-v, --verbose be verbose (este é o padrão)
-nv, --no-verbose                turn off verboseness, without being quiet	-nv, --no-verbose desligue a verboseness, sem ser silencioso -verbose
--report-speed=TYPE         output bandwidth as TYPE.  TYPE can be bits	--report-speed=TYPE output bandwidth as TYPE. TYPE pode ser bits
-i,  --input-file=FILE           download URLs found in local or external FILE	-i, --input-file=FILE download URLs found in local or external FILE
--input-metalink=FILE       download files covered in local Metalink FILE	--input-metalink=FILE download files covered in local Metalink FILE
-F,  --force-html                treat input file as HTML	F, --force-html tratar o arquivo de entrada como HTML -
-B,  --base=URL                  resolves HTML input-file links (-i -F)	B, --base=URL resolve os links de arquivo de entrada de HTML (-i -F) -
relative to URL	Em relação ao URL
--config=FILE               specify config file to use	--config=FILE especifique o arquivo de configuração a usar.
--no-config                 do not read any config file	--no-config não lê nenhum arquivo de configuração
--rejected-log=FILE         log reasons for URL rejection to FILE	--rejected-log=FILE log reasons for URL rejeição to FILE
Download:	Download:
-t,  --tries=NUMBER              set number of retries to NUMBER (0 unlimits)	-t, --tries=NUMBER número definido de retries para NUMBER (0 ilimitados)
--retry-connrefused         retry even if connection is refused	--retry-connrefused retry mesmo que a conexão seja recusada
--retry-on-host-error       consider host errors as non-fatal, transient errors	--retry-on-host-error considera os erros do host como erros não fatais e transitórios.
--retry-on-http-error=ERRORS    comma-separated list of HTTP errors to retry	--retry-on-http-error=ERRORS lista com separado de vírgula de erros HTTP para retry
-O,  --output-document=FILE      write documents to FILE	-O, --output-document=FILE write documents to FILE
-nc, --no-clobber                skip downloads that would download to	-nc, --no-clobber saltar downloads que baixariam para
existing files (overwriting them)	Arquivos existentes (overwriting them)
--no-netrc                  don't try to obtain credentials from .netrc	--no-netrc não tente obter credenciais de .netrc.
-c,  --continue                  resume getting a partially-downloaded file	-c, --continue resume recebendo um arquivo parcialmente baixado
--start-pos=OFFSET          start downloading from zero-based position OFFSET	Start-pos=OFFSET start downloading from zero-based position OFFSET --
--progress=TYPE             select progress gauge type	--progress=TYPE select progress gauge type
--show-progress             display the progress bar in any verbosity mode	--show-progress exibe a barra de progresso em qualquer modo de verbosidade
-N,  --timestamping              don't re-retrieve files unless newer than	N, --timestamping não re-recuperar arquivos, a menos que mais novos do que -.
local	local local local local
--no-if-modified-since      don't use conditional if-modified-since get	--no-if-modified-since don't use conditional if-modified-since get
requests in timestamping mode	pedidos em modo de timestamping
--no-use-server-timestamps  don't set the local file's timestamp by	--no-use-server-timestamps não definem o timestamp local do arquivo por
the one on the server	O que está no servidor
-S,  --server-response           print server response	-S, --server-response print server response
--spider                    don't download anything	aranhas não baixam nada --
-T,  --timeout=SECONDS           set all timeout values to SECONDS	-T, --timeout=SECONDS define todos os valores de timeout para SECONDS
--dns-servers=ADDRESSES     list of DNS servers to query (comma separated)	--dns-servers=ADDRESSES lista de servidores DNS para consulta (comma separada)
--bind-dns-address=ADDRESS  bind DNS resolver to ADDRESS (hostname or IP) on local host	--bind-dns-address=ADDRESS bind DNS resolver to ADDRESS (hostname or IP) on local host --
--dns-timeout=SECS          set the DNS lookup timeout to SECS	--dns-timeout=SECS define o tempo de busca do DNS para SECS
--connect-timeout=SECS      set the connect timeout to SECS	--connect-timeout=SECS define o timeout de conexão para SECS
--read-timeout=SECS         set the read timeout to SECS	--read-timeout=SECS define o timeout de leitura para SECS
-w,  --wait=SECONDS              wait SECONDS between retrievals	-w, --wait=SECONDS wait SECONDS between retrievals
(applies if more then 1 URL is to be retrieved)	(aplica-se se mais do que 1 URL for recuperada)
--waitretry=SECONDS         wait 1..SECONDS between retries of a retrieval	--waitretry=SECONDS wait 1..SECONDS between retries of a retrieval
(applies if more then 1 URL is to be retrieved)	(aplica-se se mais do que 1 URL for recuperada)
--random-wait               wait from 0.5*WAIT...1.5*WAIT secs between retrievals	--random-wait wait from 0.5*WAIT...1.5*WAIT secs between retrievals
(applies if more then 1 URL is to be retrieved)	(aplica-se se mais do que 1 URL for recuperada)
--no-proxy                  explicitly turn off proxy	--no-proxy explicitamente desligue o proxy
-Q,  --quota=NUMBER              set retrieval quota to NUMBER	-Q, --quota=NUMBER define a quota de recuperação para NUMBER
--bind-address=ADDRESS      bind to ADDRESS (hostname or IP) on local host	--bind-address=ADDRESS bind to ADDRESS (nome de hospedeiro ou IP) em um host local
--limit-rate=RATE           limit download rate to RATE	RATE limit download rate to RATE --limit-rate=RATE limit download rate to RATE --limit-rate
--no-dns-cache              disable caching DNS lookups	--no-dns-cache disable caching DNS lookups
--restrict-file-names=OS    restrict chars in file names to ones OS allows	restringir os caracteres em nomes de arquivos para aqueles que o sistema operacional permite --
--ignore-case               ignore case when matching files/directories	--ignore-case ignore case when matching files/directories
-4,  --inet4-only                connect only to IPv4 addresses	--inet4-only connect only to IPv4 addresses -4, --inet4-only connect only to IPv4 addresses -
-6,  --inet6-only                connect only to IPv6 addresses	-6, --inet6-only connect only to IPv6 addresses -6, --inet6-only connect only to IPv6 addresses
--prefer-family=FAMILY      connect first to addresses of specified family,	--prefer-family=FAMILIA conectam-se primeiro a endereços da família especificada,
one of IPv6, IPv4, or none	IPv6, IPv4, ou um ou nenhum
--user=USER                 set both ftp and http user to USER	--user=USER define o usuário ftp e o usuário http para USER
--password=PASS             set both ftp and http password to PASS	--password=PASS define ambos os passwords ftp e http para PASS
--ask-password              prompt for passwords	--ask-password prompt for passwords
--use-askpass=COMMAND       specify credential handler for requesting	--use-askpass=COMMAND specify credential handler for requesting
username and password.  If no COMMAND is	Nome de usuário e senha.If no COMMAND is
specified the WGET_ASKPASS or the SSH_ASKPASS	Especificou o WGET_ASKPASS ou o SSH_ASKPASS
environment variable is used.	A variável ambiente é usada.
--no-iri                    turn off IRI support	--no-iri desligue o suporte IRI
--local-encoding=ENC        use ENC as the local encoding for IRIs	local-encoding=ENC usar ENC como a codificação local para IRIs --
--remote-encoding=ENC       use ENC as the default remote encoding	--remote-encoding=ENC use ENC como a codificação remota padrão
--unlink                    remove file before clobber	--unlink remove file before clobber
--keep-badhash              keep files with checksum mismatch (append .badhash)	--keep-badhash keep files with checksum mismatch (apenda .badhash)
--metalink-index=NUMBER     Metalink application/metalink4+xml metaurl ordinal NUMBER	--metalink-index=NUMBER Metalink application/metalink4+xml metaurl ordinal NUMBER
--metalink-over-http        use Metalink metadata from HTTP response headers	Metalink-over-http use Metalink metadados de cabeçalhos de resposta HTTP --
--preferred-location        preferred location for Metalink resources	localização preferida localização preferida para recursos Metalink --
--xattr                     turn on storage of metadata in extended file attributes	--xattr acende o armazenamento de metadados em atributos de arquivo extendido
Directories:	Directórios:
-nd, --no-directories            don't create directories	-nd, --no-directories não criam diretórios
-x,  --force-directories         force creation of directories	-x, --force-directories forçar a criação de diretórios
-nH, --no-host-directories       don't create host directories	-nH, --no-host-directories não criam diretórios host
--protocol-directories      use protocol name in directories	Os diretórios de protocolos usam o nome do protocolo em diretórios --
-P,  --directory-prefix=PREFIX   save files to PREFIX/..	-P, --directory-prefix=PREFIX save files to PREFIX/..
--cut-dirs=NUMBER           ignore NUMBER remote directory components	--cut-dirs=NUMBER ignorar o número de componentes do diretório remoto.
HTTP options:	Opções HTTP:
--http-user=USER            set http user to USER	http-user=USER define http user para USER --http-user=USER define http user para USER --
--http-password=PASS        set http password to PASS	--http-password=PASS set http password to PASS
--no-cache                  disallow server-cached data	--no-cache disallow server-cached data --
--default-page=NAME         change the default page name (normally	--default-page=NAME change the default page name (normalmente)
this is 'index.html'.)	Isto é 'index.html'.)
-E,  --adjust-extension          save HTML/CSS documents with proper extensions	-E, --adjust-extension save HTML/CSS documentos com extensões adequadas
--ignore-length             ignore 'Content-Length' header field	--ignore-length ignore 'Content-Length' header field
--header=STRING             insert STRING among the headers	--header=STRING insert STRING entre os cabeçalhos
--compression=TYPE          choose compression, one of auto, gzip and none. (default: none)	compression=TYPE choose compression, one of auto, gzip and none. (default: none) --
--max-redirect              maximum redirections allowed per page	--max-redirect - redirecionamento máximo permitido por página
--proxy-user=USER           set USER as proxy username	--proxy-user=USER set USER como nome de usuário proxy
--proxy-password=PASS       set PASS as proxy password	--proxy-password=PASS set PASS como palavra-passe proxy
--referer=URL               include 'Referer: URL' header in HTTP request	--referer=URL incluem o cabeçalho 'Referer: URL' no pedido HTTP
--save-headers              save the HTTP headers to file	--save-headers salvar os cabeçalhos HTTP para arquivar --
-U,  --user-agent=AGENT          identify as AGENT instead of Wget/VERSION	-U, --user-agent=AGENT identificar como agente em vez de Wget/VERSION
--no-http-keep-alive        disable HTTP keep-alive (persistent connections)	--no-http-keep-alive disable HTTP keep-alive (conexões persistentes)
--no-cookies                don't use cookies	--sem cookies não usam cookies
--load-cookies=FILE         load cookies from FILE before session	--load-cookies=FILE carrega cookies de FILE antes da sessão
--save-cookies=FILE         save cookies to FILE after session	--save-cookies=FILE save cookies to FILE after session
--keep-session-cookies      load and save session (non-permanent) cookies	"Keep-session-cookies load and save session (non-permanent) cookies" --
--post-data=STRING          use the POST method; send STRING as the data	--post-data=STRING use the POST method; send STRING as dados
--post-file=FILE            use the POST method; send contents of FILE	--post-file=FILE use the POST method; send contents of FILE
--method=HTTPMethod         use method "HTTPMethod" in the request	Método de uso do método "HTTPMethod" na solicitação --
--body-data=STRING          send STRING as data. --method MUST be set	--body-data=STRING send STRING as dados. --method MUST be set
--body-file=FILE            send contents of FILE. --method MUST be set	-body-file=FILE send contents of FILE. --method MUST be set --
--content-disposition       honor the Content-Disposition header when	--content-disposition honra o cabeçalho Content-Disposition quando
choosing local file names (EXPERIMENTAL)	escolher nomes de arquivos locais (EXPERIMENTAL)
--content-on-error          output the received content on server errors	--content-on-error output o conteúdo recebido em erros de servidor
--auth-no-challenge         send Basic HTTP authentication information	--auth-no-challenge send Basic HTTP authentication information
without first waiting for the server's	Primeiro esperamos o servidor sem esperar o servidor
challenge	desafio desafio
HTTPS (SSL/TLS) options:	Opções HTTPS (SSL/TLS):
--secure-protocol=PR        choose secure protocol, one of auto, SSLv2,	PR choose secure protocol, one of auto, SSLv2, --
SSLv3, TLSv1, TLSv1_1, TLSv1_2, TLSv1_3 and PFS	SSLv3, TLSv1, TLSv1_1, TLSv1_2, TLSv1_3 e PFS
--https-only                only follow secure HTTPS links	--https-only only follow secure HTTPS links --https-only only follow secure HTTPS links --
--no-check-certificate      don't validate the server's certificate	--no-check-certificate não valida o certificado do servidor
--certificate=FILE          client certificate file	--certificate=FILE --certificate file
--certificate-type=TYPE     client certificate type, PEM or DER	--certificate-type=TYPE tipo de certificado de cliente, PEM ou DER
--private-key=FILE          private key file	--private-key=FILE arquivo de chave privada
--private-key-type=TYPE     private key type, PEM or DER	tipo de chave privada, PEM ou DER --
--ca-certificate=FILE       file with the bundle of CAs	--ca-certificate=FILE com o pacote de CA
--ca-directory=DIR          directory where hash list of CAs is stored	ca-directory=DIR directory onde a lista de hash de CAs é armazenada --
--crl-file=FILE             file with bundle of CRLs	--crl-file=FILE file with bundle of CRLs
--pinnedpubkey=FILE/HASHES  Public key (PEM/DER) file, or any number	--pinnedpubkey=FILE/HASHES Public key (PEM/DER) arquivo, ou qualquer número
