project,arquivo_a,arquivo_b,ctx_a,ctx_b,dunn_p,significativo,sig
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-zh_CN.po.meta,ctx-0,ctx-2,0.015621,True,*
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-id.po.meta,ctx-0,ctx-2,0.001966,True,**
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-ru.po.meta,ctx-0,ctx-2,0.00232,True,**
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-vi.po.meta,ctx-0,ctx-2,0.00442,True,**
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-zh_CN.po.meta,ctx-0,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.id-ru.po.meta,ctx-0,ctx-2,0.98818,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.id-vi.po.meta,ctx-0,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.id-zh_CN.po.meta,ctx-0,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.ru-vi.po.meta,ctx-0,ctx-2,0.333371,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.ru-zh_CN.po.meta,ctx-0,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.vi-zh_CN.po.meta,ctx-0,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,ctx-1,ctx-1,0.013444,True,*
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,ctx-1,ctx-1,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,ctx-1,ctx-1,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.ru.po.meta,ctx-1,ctx-1,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.vi.po.meta,ctx-1,ctx-1,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.zh_CN.po.meta,ctx-1,ctx-1,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-es.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-fr.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-id.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-ru.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-vi.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-zh_CN.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-fr.po.meta,ctx-1,ctx-2,0.130927,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-id.po.meta,ctx-1,ctx-2,0.103493,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-ru.po.meta,ctx-1,ctx-2,0.037711,True,*
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-vi.po.meta,ctx-1,ctx-2,0.059234,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-zh_CN.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-id.po.meta,ctx-1,ctx-2,0.213436,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-ru.po.meta,ctx-1,ctx-2,0.242807,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-vi.po.meta,ctx-1,ctx-2,0.400189,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-zh_CN.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.id-ru.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.id-vi.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.id-zh_CN.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.ru-vi.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.ru-zh_CN.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.vi-zh_CN.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,ctx-1,ctx-1,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,ctx-1,ctx-1,0.424811,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.ru.po.meta,ctx-1,ctx-1,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.vi.po.meta,ctx-1,ctx-1,0.051266,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.zh_CN.po.meta,ctx-1,ctx-1,0.117372,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-es.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-fr.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-id.po.meta,ctx-1,ctx-2,0.1228,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-ru.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-vi.po.meta,ctx-1,ctx-2,0.377094,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-zh_CN.po.meta,ctx-1,ctx-2,0.014975,True,*
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-fr.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-id.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-ru.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-vi.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-zh_CN.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-id.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-ru.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-vi.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-zh_CN.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.id-ru.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.id-vi.po.meta,ctx-1,ctx-2,0.368409,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.id-zh_CN.po.meta,ctx-1,ctx-2,0.699892,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.ru-vi.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.ru-zh_CN.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.vi-zh_CN.po.meta,ctx-1,ctx-2,0.512337,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,ctx-1,ctx-1,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.ru.po.meta,ctx-1,ctx-1,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.vi.po.meta,ctx-1,ctx-1,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.zh_CN.po.meta,ctx-1,ctx-1,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-es.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-fr.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-id.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-ru.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-vi.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-zh_CN.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-fr.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-id.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-ru.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-vi.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-zh_CN.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-id.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-ru.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-vi.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-zh_CN.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.id-ru.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.id-vi.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.id-zh_CN.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.ru-vi.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.ru-zh_CN.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.vi-zh_CN.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.ru.po.meta,ctx-1,ctx-1,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.vi.po.meta,ctx-1,ctx-1,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.zh_CN.po.meta,ctx-1,ctx-1,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-es.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-fr.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-id.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-ru.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-vi.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-zh_CN.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-fr.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-id.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-ru.po.meta,ctx-1,ctx-2,0.97558,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-vi.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-zh_CN.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-id.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-ru.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-vi.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-zh_CN.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.id-ru.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.id-vi.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.id-zh_CN.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.ru-vi.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.ru-zh_CN.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-2.vi-zh_CN.po.meta,ctx-1,ctx-2,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.ru.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.vi.po.meta,ctx-1,ctx-1,1.0,False,ns
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.ru.po.meta,aspell-0.60.8.1.pt_BR.llama.ctx-1.zh_CN.po.meta,ctx-1,ctx-1,1.0,False,ns
